index	flag_actin	p62_actin	lc3_actin
ATG7	0.6285927013991016	0.3323258482686203	1.9580169564625922
ATG7	1.1986950777161016	0.6420680164528477	1.3534811903808082
ATG7	0.8660657782815541	0.3998296833100715	1.005348659004881
ATG7-/-	0.1309087701873023	0.5768378774944803	0.1470862489597372
ATG7-/-	0.08506590016781503	1.024921310183094	0.682458182185078
ATG7-/-	0.22261599150637323	0.6574046946584012	0.4674221235605613
MEF WT	0.18052221776836191	0.34449939231218774	2.0180326898223546
MEF WT	0.046846111988358884	0.41905764158768893	1.1919876081207033
MEF WT	0.16181992535061773	0.3595924162405821	1.314439628861105
dVSR	0.9596978898536956	0.7211583257224871	0.1335149906057768
dVSR	1.1957882835428562	0.9246030966388717	0.6185262697384645
dVSR	0.9315528864389148	0.831016085402405	0.34577812373168193
